accession	reference_length	covered_bases	reads_aligned	mean_coverage	RPKMF	sequence_name	taxid	kingdom	phylum	class	order	family	genus	species	subspecies	strain	sample_ID	total_filtered_reads_in_sample
KP087798.1	8275	2354	2616	47.1392	105.723	Murine leukemia virus NZW-1 gag-pol polyprotein and env polyprotein genes, complete cds	1615765	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Murine leukemia virus	Murine leukemia virus NZW-1	Murine leukemia virus NZW-1	C29	2990207
KU324802.1	8203	5148	24575	329.08716	1001.89	Murine leukemia virus CasE 1, complete genome	458105	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Murine leukemia virus	Murine leukemia virus CasE#1	Murine leukemia virus CasE#1	C29	2990207
KU936049.1	137452	1103	116	0.19840206	0.282232	Bubaline alphaherpesvirus 1 strain b6, complete genome	202910	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Herpesviridae	Varicellovirus	Bubaline alphaherpesvirus 1	unclassified Bubaline alphaherpesvirus 1 subspecies/strain	unclassified Bubaline alphaherpesvirus 1 strain	C29	2990207
KY484771.1	8673	1417	192	3.0578434	7.40339	Porcine endogenous retrovirus A gag-pol polyprotein and env protein genes, complete cds	194958	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Porcine type-C oncovirus	Porcine endogenous retrovirus A	Porcine endogenous retrovirus A	C29	2990207
LC229035.1	8359	2227	3591	64.50335	143.668	Friend murine leukemia virus (ISOLATE 57) genomic RNA, complete genome	11796	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Murine leukemia virus	Friend murine leukemia virus (ISOLATE 57)	Friend murine leukemia virus (ISOLATE 57)	C29	2990207
MF118167.1	3925	1958	32	0.9994702	2.72652	Human fecal virus Jorvi2, complete genome	2017081	Viruses	Cressdnaviricota	Arfiviricetes	Cirlivirales	Circoviridae	unclassified Circoviridae genus	Human fecal virus Jorvi2	unclassified Human fecal virus Jorvi2 subspecies/strain	unclassified Human fecal virus Jorvi2 strain	C29	2990207
MH450109.1	8200	4733	12972	223.44858	529.044	Xenotropic murine leukemia virus isolate AKR40, complete genome	11837	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Murine leukemia virus	Xenotropic murine leukemia virus	Xenotropic murine leukemia virus	C29	2990207
MH698402.1	162076	1365	372	0.4035547	0.767579	Human betaherpesvirus 6B strain GTEX-OXRO_icihv6b, complete genome	32604	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Herpesviridae	Roseolovirus	Human betaherpesvirus 6B	unclassified Human betaherpesvirus 6B subspecies/strain	unclassified Human betaherpesvirus 6B strain	C29	2990207
NC_007653.1	156487	1039	26	0.53360367	0.055564	Papiine herpesvirus 2, complete genome	340907	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Herpesviridae	Simplexvirus	Papiine alphaherpesvirus 2	unclassified Papiine alphaherpesvirus 2 subspecies/strain	unclassified Papiine alphaherpesvirus 2 strain	C29	2990207
V01108.1	5153	1298	13	0.26743954	0.843688	Human BK virus (strain Dunlop) genome. (Closely related to SV40.)	1891762	Viruses	Cossaviricota	Papovaviricetes	Sepolyvirales	Polyomaviridae	Betapolyomavirus	Betapolyomavirus hominis	unclassified Betapolyomavirus hominis subspecies/strain	unclassified Betapolyomavirus hominis strain	C29	2990207
NC_004162.2	11826	11824	40905	507.72714	1277.7	Chikungunya virus, complete genome	37124	Viruses	Kitrinoviricota	Alsuviricetes	Martellivirales	Togaviridae	Alphavirus	Chikungunya virus	unclassified Chikungunya virus subspecies/strain	unclassified Chikungunya virus strain	C27	2707129
NC_035889.1	10808	10799	1966	27.368736	67.1938	Zika virus isolate ZIKV/H. sapiens/Brazil/Natal/2015, complete genome	64320	Viruses	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	Flavivirus	Zika virus	unclassified Zika virus subspecies/strain	unclassified Zika virus strain	C27	2707129
KY316160.1	34169	2427	21	0.1797231	0.227027	Human adenovirus 41 isolate SH/2015/D16, complete genome	10524	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus F	Human adenovirus 41	Human adenovirus 41	C27	2707129
AB362840.1	7246	3022	709	13.604566	36.1442	Orthohepevirus A genomic RNA, complete genome, isolate: 114d/A549	1678143	Viruses	Kitrinoviricota	Alsuviricetes	Hepelivirales	Hepeviridae	Paslahepevirus	Paslahepevirus balayani	unclassified Paslahepevirus balayani subspecies/strain	unclassified Paslahepevirus balayani strain	C27	2707129
AF033807.1	8805	8756	47958	818.0082	2011.98	Mouse mammary tumor virus complete proviral genome	11757	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Betaretrovirus	Mouse mammary tumor virus	unclassified Mouse mammary tumor virus subspecies/strain	unclassified Mouse mammary tumor virus strain	C27	2707129
AF033811.1	8332	2282	20878	376.0973	925.616	Moloney murine leukemia virus, complete genome	11801	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Murine leukemia virus	Moloney murine leukemia virus	Moloney murine leukemia virus	C27	2707129
AF033812.1	5894	2010	1729	43.629005	108.362	Abelson murine leukemia virus, complete genome	11788	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Abelson murine leukemia virus	unclassified Abelson murine leukemia virus subspecies/strain	unclassified Abelson murine leukemia virus strain	C27	2707129
AF033813.1	5833	1997	744	26.994898	47.1164	Moloney murine sarcoma virus, complete genome	11809	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Moloney murine sarcoma virus	unclassified Moloney murine sarcoma virus subspecies/strain	unclassified Moloney murine sarcoma virus strain	C27	2707129
AF033814.1	3811	1380	231	18.120731	22.3905	Murine osteosarcoma virus, complete genome	11830	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Murine osteosarcoma virus	unclassified Murine osteosarcoma virus subspecies/strain	unclassified Murine osteosarcoma virus strain	C27	2707129
AF043303.1	4679	1389	18	0.39832193	1.42105	Adeno-associated virus 2, complete genome	10804	Viruses	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	Dependoparvovirus	Adeno-associated dependoparvovirus A	adeno-associated virus 2	adeno-associated virus 2	C27	2707129
FJ544577.2	8183	8183	494414	8812.166	22318.7	Mus musculus mobilized endogenous polytropic provirus clone 15 truncated gag-pol polyprotein (gag) and envelope protein (env) genes, complete cds	590745	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Mus musculus mobilized endogenous polytropic provirus	unclassified Mus musculus mobilized endogenous polytropic provirus subspecies/strain	unclassified Mus musculus mobilized endogenous polytropic provirus strain	C27	2707129
FJ810126.1	5759	1421	13	0.27348903	0.833849	Culex pipiens densovirus, complete genome	185638	Viruses	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	Protoambidensovirus	Dipteran protoambidensovirus 1	Culex pipiens densovirus	Culex pipiens densovirus	C27	2707129
FR872816.1	8562	7122	135240	2353.1572	5834.73	XMRV complete proviral genome, isolate S-162	438045	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Murine leukemia-related retroviruses	Xenotropic MuLV-related virus	Xenotropic MuLV-related virus	C27	2707129
J02207.1	997	638	111	17.848879	41.1262	harvey murine sarcoma virus p21 v-has protein gene	11807	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Harvey murine sarcoma virus	unclassified Harvey murine sarcoma virus subspecies/strain	unclassified Harvey murine sarcoma virus strain	C27	2707129
J02226.1	5130	1653	18	0.36626506	1.29612	JC virus complete genome	10632	Viruses	Cossaviricota	Papovaviricetes	Sepolyvirales	Polyomaviridae	Betapolyomavirus	Betapolyomavirus secuhominis	JC polyomavirus	JC polyomavirus	C27	2707129
JX985409.1	12279	1803	18	0.21864952	0.541503	Bovine viral diarrhea virus 3 isolate CH-KaHo/cont, complete genome	381707	Viruses	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	Pestivirus	Pestivirus H	Bovine viral diarrhea virus 3	Bovine viral diarrhea virus 3	C27	2707129
K00021.1	6296	2604	8046	169.14334	472.07	Friend spleen focus-forming virus (proviral), complete genome	11820	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Spleen focus-forming virus	Friend spleen focus-forming virus	Friend spleen focus-forming virus	C27	2707129
KC617868.1	3780	3780	926	29.713774	90.492	Parvovirus NIH-CQV putative 15-kDa protein, putative replication associated protein (rep), and putative capsid protein (cap) genes, complete cds	1341019	Viruses	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	unclassified Parvoviridae genus	Parvovirus NIH-CQV	unclassified Parvovirus NIH-CQV subspecies/strain	unclassified Parvovirus NIH-CQV strain	C27	2707129
KU324802.1	8203	4795	13324	200.59593	600.002	Murine leukemia virus CasE 1, complete genome	458105	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Murine leukemia virus	Murine leukemia virus CasE#1	Murine leukemia virus CasE#1	C27	2707129
KU936049.1	137452	1301	114	0.36602527	0.306369	Bubaline alphaherpesvirus 1 strain b6, complete genome	202910	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Herpesviridae	Varicellovirus	Bubaline alphaherpesvirus 1	unclassified Bubaline alphaherpesvirus 1 subspecies/strain	unclassified Bubaline alphaherpesvirus 1 strain	C27	2707129
KY484771.1	8673	1680	243	3.9199812	10.3497	Porcine endogenous retrovirus A gag-pol polyprotein and env protein genes, complete cds	194958	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Porcine type-C oncovirus	Porcine endogenous retrovirus A	Porcine endogenous retrovirus A	C27	2707129
KY574504.1	8275	4102	23643	349.27594	1055.42	Murine leukemia virus isolate AKR13, complete genome	11786	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Murine leukemia virus	unclassified Murine leukemia virus subspecies/strain	unclassified Murine leukemia virus strain	C27	2707129
MF118167.1	3925	1830	33	1.1112583	3.10574	Human fecal virus Jorvi2, complete genome	2017081	Viruses	Cressdnaviricota	Arfiviricetes	Cirlivirales	Circoviridae	unclassified Circoviridae genus	Human fecal virus Jorvi2	unclassified Human fecal virus Jorvi2 subspecies/strain	unclassified Human fecal virus Jorvi2 strain	C27	2707129
MH450109.1	8200	4679	9461	172.69925	426.201	Xenotropic murine leukemia virus isolate AKR40, complete genome	11837	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Murine leukemia virus	Xenotropic murine leukemia virus	Xenotropic murine leukemia virus	C27	2707129
MH698402.1	162076	1433	532	0.61309487	1.21251	Human betaherpesvirus 6B strain GTEX-OXRO_icihv6b, complete genome	32604	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Herpesviridae	Roseolovirus	Human betaherpesvirus 6B	unclassified Human betaherpesvirus 6B subspecies/strain	unclassified Human betaherpesvirus 6B strain	C27	2707129
V01108.1	5153	2410	25	0.61143315	1.79214	Human BK virus (strain Dunlop) genome. (Closely related to SV40.)	1891762	Viruses	Cossaviricota	Papovaviricetes	Sepolyvirales	Polyomaviridae	Betapolyomavirus	Betapolyomavirus hominis	unclassified Betapolyomavirus hominis subspecies/strain	unclassified Betapolyomavirus hominis strain	C27	2707129
NC_004162.2	11826	11826	1986388	24596.375	43035.8	Chikungunya virus, complete genome	37124	Viruses	Kitrinoviricota	Alsuviricetes	Martellivirales	Togaviridae	Alphavirus	Chikungunya virus	unclassified Chikungunya virus subspecies/strain	unclassified Chikungunya virus strain	C15	3902976
KY316160.1	34169	1112	10	0.11696405	0.0749846	Human adenovirus 41 isolate SH/2015/D16, complete genome	10524	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus F	Human adenovirus 41	Human adenovirus 41	C15	3902976
AF033807.1	8805	8764	22249	379.4974	647.419	Mouse mammary tumor virus complete proviral genome	11757	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Betaretrovirus	Mouse mammary tumor virus	unclassified Mouse mammary tumor virus subspecies/strain	unclassified Mouse mammary tumor virus strain	C15	3902976
AF033811.1	8332	2288	10070	182.09924	309.659	Moloney murine leukemia virus, complete genome	11801	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Murine leukemia virus	Moloney murine leukemia virus	Moloney murine leukemia virus	C15	3902976
AF033812.1	5894	1959	1045	26.887362	45.4266	Abelson murine leukemia virus, complete genome	11788	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Abelson murine leukemia virus	unclassified Abelson murine leukemia virus subspecies/strain	unclassified Abelson murine leukemia virus strain	C15	3902976
AF033813.1	5833	1931	338	12.836882	14.8467	Moloney murine sarcoma virus, complete genome	11809	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Moloney murine sarcoma virus	unclassified Moloney murine sarcoma virus subspecies/strain	unclassified Moloney murine sarcoma virus strain	C15	3902976
AF033814.1	3811	2871	1810	73.504234	121.687	Murine osteosarcoma virus, complete genome	11830	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Murine osteosarcoma virus	unclassified Murine osteosarcoma virus subspecies/strain	unclassified Murine osteosarcoma virus strain	C15	3902976
AF043303.1	4679	1351	15	0.36939722	0.821377	Adeno-associated virus 2, complete genome	10804	Viruses	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	Dependoparvovirus	Adeno-associated dependoparvovirus A	adeno-associated virus 2	adeno-associated virus 2	C15	3902976
AF411814.1	8217	2000	2555	49.011406	79.6676	Amphotropic murine leukemia virus strain 1313, complete genome	188539	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Murine leukemia virus	Amphotropic murine leukemia virus	Amphotropic murine leukemia virus	C15	3902976
FJ544577.2	8183	8183	263919	4707.2603	8263.47	Mus musculus mobilized endogenous polytropic provirus clone 15 truncated gag-pol polyprotein (gag) and envelope protein (env) genes, complete cds	590745	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Mus musculus mobilized endogenous polytropic provirus	unclassified Mus musculus mobilized endogenous polytropic provirus subspecies/strain	unclassified Mus musculus mobilized endogenous polytropic provirus strain	C15	3902976
FR872816.1	8562	8559	72236	1253.6935	2161.64	XMRV complete proviral genome, isolate S-162	438045	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Murine leukemia-related retroviruses	Xenotropic MuLV-related virus	Xenotropic MuLV-related virus	C15	3902976
J02226.1	5130	1070	10	0.23253012	0.499444	JC virus complete genome	10632	Viruses	Cossaviricota	Papovaviricetes	Sepolyvirales	Polyomaviridae	Betapolyomavirus	Betapolyomavirus secuhominis	JC polyomavirus	JC polyomavirus	C15	3902976
JX985409.1	12279	1477	20	0.2494847	0.417322	Bovine viral diarrhea virus 3 isolate CH-KaHo/cont, complete genome	381707	Viruses	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	Pestivirus	Pestivirus H	Bovine viral diarrhea virus 3	Bovine viral diarrhea virus 3	C15	3902976
K00021.1	6296	2831	4377	92.901726	178.121	Friend spleen focus-forming virus (proviral), complete genome	11820	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Spleen focus-forming virus	Friend spleen focus-forming virus	Friend spleen focus-forming virus	C15	3902976
KC617868.1	3780	3777	283	8.631129	19.1822	Parvovirus NIH-CQV putative 15-kDa protein, putative replication associated protein (rep), and putative capsid protein (cap) genes, complete cds	1341019	Viruses	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	unclassified Parvoviridae genus	Parvovirus NIH-CQV	unclassified Parvovirus NIH-CQV subspecies/strain	unclassified Parvovirus NIH-CQV strain	C15	3902976
KP087798.1	8275	3526	1478	28.31446	45.7626	Murine leukemia virus NZW-1 gag-pol polyprotein and env polyprotein genes, complete cds	1615765	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Murine leukemia virus	Murine leukemia virus NZW-1	Murine leukemia virus NZW-1	C15	3902976
KU324802.1	8203	8131	20112	339.73923	628.184	Murine leukemia virus CasE 1, complete genome	458105	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Murine leukemia virus	Murine leukemia virus CasE#1	Murine leukemia virus CasE#1	C15	3902976
KY574504.1	8275	6310	13315	202.82178	412.266	Murine leukemia virus isolate AKR13, complete genome	11786	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Murine leukemia virus	unclassified Murine leukemia virus subspecies/strain	unclassified Murine leukemia virus strain	C15	3902976
MF118167.1	3925	1865	19	0.58463573	1.24028	Human fecal virus Jorvi2, complete genome	2017081	Viruses	Cressdnaviricota	Arfiviricetes	Cirlivirales	Circoviridae	unclassified Circoviridae genus	Human fecal virus Jorvi2	unclassified Human fecal virus Jorvi2 subspecies/strain	unclassified Human fecal virus Jorvi2 strain	C15	3902976
MH450109.1	8200	8002	8252	150.92038	257.84	Xenotropic murine leukemia virus isolate AKR40, complete genome	11837	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Murine leukemia virus	Xenotropic murine leukemia virus	Xenotropic murine leukemia virus	C15	3902976
MH698402.1	162076	1301	371	0.4416462	0.586488	Human betaherpesvirus 6B strain GTEX-OXRO_icihv6b, complete genome	32604	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Herpesviridae	Roseolovirus	Human betaherpesvirus 6B	unclassified Human betaherpesvirus 6B subspecies/strain	unclassified Human betaherpesvirus 6B strain	C15	3902976
V01108.1	5153	1075	9	0.21686988	0.447493	Human BK virus (strain Dunlop) genome. (Closely related to SV40.)	1891762	Viruses	Cossaviricota	Papovaviricetes	Sepolyvirales	Polyomaviridae	Betapolyomavirus	Betapolyomavirus hominis	unclassified Betapolyomavirus hominis subspecies/strain	unclassified Betapolyomavirus hominis strain	C15	3902976
NC_004162.2	11826	11826	1371236	17121.94	40679	Chikungunya virus, complete genome	37124	Viruses	Kitrinoviricota	Alsuviricetes	Martellivirales	Togaviridae	Alphavirus	Chikungunya virus	unclassified Chikungunya virus subspecies/strain	unclassified Chikungunya virus strain	C17	2850386
AC_000007.1	35937	1207	25	0.09321821	0.244059	Human adenovirus 2, complete genome	10515	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus C	Human adenovirus 2	Human adenovirus 2	C17	2850386
KY316160.1	34169	1748	15	0.07763309	0.154012	Human adenovirus 41 isolate SH/2015/D16, complete genome	10524	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus F	Human adenovirus 41	Human adenovirus 41	C17	2850386
AF033807.1	8805	8669	20604	354.32928	820.953	Mouse mammary tumor virus complete proviral genome	11757	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Betaretrovirus	Mouse mammary tumor virus	unclassified Mouse mammary tumor virus subspecies/strain	unclassified Mouse mammary tumor virus strain	C17	2850386
AF033812.1	5894	1869	908	23.45665	54.0471	Abelson murine leukemia virus, complete genome	11788	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Abelson murine leukemia virus	unclassified Abelson murine leukemia virus subspecies/strain	unclassified Abelson murine leukemia virus strain	C17	2850386
AF033813.1	5833	1982	403	14.935597	24.2387	Moloney murine sarcoma virus, complete genome	11809	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Moloney murine sarcoma virus	unclassified Moloney murine sarcoma virus subspecies/strain	unclassified Moloney murine sarcoma virus strain	C17	2850386
AF033814.1	3811	2631	1380	57.521717	127.039	Murine osteosarcoma virus, complete genome	11830	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Murine osteosarcoma virus	unclassified Murine osteosarcoma virus subspecies/strain	unclassified Murine osteosarcoma virus strain	C17	2850386
FJ544577.2	8183	8183	221304	3978.124	9487.96	Mus musculus mobilized endogenous polytropic provirus clone 15 truncated gag-pol polyprotein (gag) and envelope protein (env) genes, complete cds	590745	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Mus musculus mobilized endogenous polytropic provirus	unclassified Mus musculus mobilized endogenous polytropic provirus subspecies/strain	unclassified Mus musculus mobilized endogenous polytropic provirus strain	C17	2850386
FR872816.1	8562	8554	63717	1115.1096	2610.82	XMRV complete proviral genome, isolate S-162	438045	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Murine leukemia-related retroviruses	Xenotropic MuLV-related virus	Xenotropic MuLV-related virus	C17	2850386
K00021.1	6296	2943	3588	77.75057	199.933	Friend spleen focus-forming virus (proviral), complete genome	11820	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Spleen focus-forming virus	Friend spleen focus-forming virus	Friend spleen focus-forming virus	C17	2850386
KC617868.1	3780	3777	424	13.616804	39.3523	Parvovirus NIH-CQV putative 15-kDa protein, putative replication associated protein (rep), and putative capsid protein (cap) genes, complete cds	1341019	Viruses	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	unclassified Parvoviridae genus	Parvovirus NIH-CQV	unclassified Parvovirus NIH-CQV subspecies/strain	unclassified Parvovirus NIH-CQV strain	C17	2850386
KP087798.1	8275	3449	1113	21.959015	47.1871	Murine leukemia virus NZW-1 gag-pol polyprotein and env polyprotein genes, complete cds	1615765	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Murine leukemia virus	Murine leukemia virus NZW-1	Murine leukemia virus NZW-1	C17	2850386
KU324802.1	8203	8078	15871	269.2583	678.778	Murine leukemia virus CasE 1, complete genome	458105	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Murine leukemia virus	Murine leukemia virus CasE#1	Murine leukemia virus CasE#1	C17	2850386
KY574504.1	8275	6210	11179	171.24258	473.949	Murine leukemia virus isolate AKR13, complete genome	11786	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Murine leukemia virus	unclassified Murine leukemia virus subspecies/strain	unclassified Murine leukemia virus strain	C17	2850386
MF118167.1	3925	1313	16	0.52741724	1.43013	Human fecal virus Jorvi2, complete genome	2017081	Viruses	Cressdnaviricota	Arfiviricetes	Cirlivirales	Circoviridae	unclassified Circoviridae genus	Human fecal virus Jorvi2	unclassified Human fecal virus Jorvi2 subspecies/strain	unclassified Human fecal virus Jorvi2 strain	C17	2850386
MH450109.1	8200	8005	6575	121.910934	281.306	Xenotropic murine leukemia virus isolate AKR40, complete genome	11837	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Murine leukemia virus	Xenotropic murine leukemia virus	Xenotropic murine leukemia virus	C17	2850386
MH698402.1	162076	1291	203	0.2310685	0.439414	Human betaherpesvirus 6B strain GTEX-OXRO_icihv6b, complete genome	32604	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Herpesviridae	Roseolovirus	Human betaherpesvirus 6B	unclassified Human betaherpesvirus 6B subspecies/strain	unclassified Human betaherpesvirus 6B strain	C17	2850386
NC_004162.2	11826	11826	408562	5018.5967	9143.1	Chikungunya virus, complete genome	37124	Viruses	Kitrinoviricota	Alsuviricetes	Martellivirales	Togaviridae	Alphavirus	Chikungunya virus	unclassified Chikungunya virus subspecies/strain	unclassified Chikungunya virus strain	C25	3778564
NC_035889.1	10808	3284	192	2.564177	4.70142	Zika virus isolate ZIKV/H. sapiens/Brazil/Natal/2015, complete genome	64320	Viruses	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	Flavivirus	Zika virus	unclassified Zika virus subspecies/strain	unclassified Zika virus strain	C25	3778564
KY316160.1	34169	2710	20	0.15558952	0.154907	Human adenovirus 41 isolate SH/2015/D16, complete genome	10524	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus F	Human adenovirus 41	Human adenovirus 41	C25	3778564
AF033807.1	8805	8726	45033	764.8385	1353.55	Mouse mammary tumor virus complete proviral genome	11757	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Betaretrovirus	Mouse mammary tumor virus	unclassified Mouse mammary tumor virus subspecies/strain	unclassified Mouse mammary tumor virus strain	C25	3778564
AF033812.1	5894	2060	3435	86.875	154.237	Abelson murine leukemia virus, complete genome	11788	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Abelson murine leukemia virus	unclassified Abelson murine leukemia virus subspecies/strain	unclassified Abelson murine leukemia virus strain	C25	3778564
AF033813.1	5833	2068	1047	36.032906	47.5038	Moloney murine sarcoma virus, complete genome	11809	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Moloney murine sarcoma virus	unclassified Moloney murine sarcoma virus subspecies/strain	unclassified Moloney murine sarcoma virus strain	C25	3778564
AF033814.1	3811	2794	3854	156.08823	267.637	Murine osteosarcoma virus, complete genome	11830	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Murine osteosarcoma virus	unclassified Murine osteosarcoma virus subspecies/strain	unclassified Murine osteosarcoma virus strain	C25	3778564
AF043303.1	4679	1685	20	0.5288143	1.13123	Adeno-associated virus 2, complete genome	10804	Viruses	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	Dependoparvovirus	Adeno-associated dependoparvovirus A	adeno-associated virus 2	adeno-associated virus 2	C25	3778564
FJ544577.2	8183	8183	660772	11719.006	21370.4	Mus musculus mobilized endogenous polytropic provirus clone 15 truncated gag-pol polyprotein (gag) and envelope protein (env) genes, complete cds	590745	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Mus musculus mobilized endogenous polytropic provirus	unclassified Mus musculus mobilized endogenous polytropic provirus subspecies/strain	unclassified Mus musculus mobilized endogenous polytropic provirus strain	C25	3778564
FJ810126.1	5759	1292	13	0.2535211	0.597406	Culex pipiens densovirus, complete genome	185638	Viruses	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	Protoambidensovirus	Dipteran protoambidensovirus 1	Culex pipiens densovirus	Culex pipiens densovirus	C25	3778564
FR872816.1	8562	8561	190273	3288.289	5881.32	XMRV complete proviral genome, isolate S-162	438045	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Murine leukemia-related retroviruses	Xenotropic MuLV-related virus	Xenotropic MuLV-related virus	C25	3778564
J02207.1	997	673	144	23.859505	38.2244	harvey murine sarcoma virus p21 v-has protein gene	11807	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Harvey murine sarcoma virus	unclassified Harvey murine sarcoma virus subspecies/strain	unclassified Harvey murine sarcoma virus strain	C25	3778564
J02226.1	5130	1768	21	0.45220885	1.08337	JC virus complete genome	10632	Viruses	Cossaviricota	Papovaviricetes	Sepolyvirales	Polyomaviridae	Betapolyomavirus	Betapolyomavirus secuhominis	JC polyomavirus	JC polyomavirus	C25	3778564
